dataset,noise_model,noise_level,uq_method,observed_coverage,calibration_error,mean_width,normalized_width,sharpness,cal_sharp_score,interval_score
Polynomial,homoskedastic,0.02,HatMatrix,0.936,0.013999999999999901,0.01710577070182538,0.022733690758908742,43.98757819858731,0.16273369075890776,0.02200094037905694
Polynomial,homoskedastic,0.02,Bayesian,1.0,0.050000000000000044,3.4590455233330157,4.597096068875108,0.21752862785934693,5.097096068875109,3.4590455233330157
Polynomial,homoskedastic,0.05,HatMatrix,0.938,0.01200000000000001,0.04442681557883396,0.05657978209204773,17.67415785329703,0.17657978209204783,0.05792468386747132
Polynomial,homoskedastic,0.05,Bayesian,1.0,0.050000000000000044,3.3228143178738607,4.231771005599804,0.23630768268810462,4.731771005599805,3.3228143178738607
Polynomial,homoskedastic,0.1,HatMatrix,0.956,0.006000000000000005,0.091357564116241,0.11242551207618022,8.894778253910854,0.1724255120761803,0.10455587215471096
Polynomial,homoskedastic,0.1,Bayesian,1.0,0.050000000000000044,2.5068312295834323,3.084931033361205,0.32415635525908143,3.5849310333612054,2.5068312295834323
Polynomial,heteroskedastic,0.01,HatMatrix,0.942,0.008000000000000007,0.014340500274077581,0.018999796303009298,52.632143211009804,0.09899979630300937,0.02103300150717677
Polynomial,heteroskedastic,0.01,Bayesian,1.0,0.050000000000000044,3.545838920337995,4.6978986731366135,0.21286112570247007,5.1978986731366135,3.545838920337995
Polynomial,heteroskedastic,0.02,HatMatrix,0.946,0.0040000000000000036,0.031471824768460506,0.04112796013998635,24.314359297089418,0.08112796013998638,0.045004364420047835
Polynomial,heteroskedastic,0.02,Bayesian,1.0,0.050000000000000044,3.4370293380539922,4.49157322956088,0.22263913976033856,4.991573229560881,3.4370293380539922
Polynomial,heteroskedastic,0.05,HatMatrix,0.884,0.06599999999999995,0.07233195978209701,0.09063273730880704,11.033540745798783,0.7506327373088065,0.1830228380985322
Polynomial,heteroskedastic,0.05,Bayesian,1.0,0.050000000000000044,1.80770288365489,2.2650714992408956,0.44148716733009746,2.765071499240896,1.80770288365489
Polynomial,heteroskedastic,0.1,HatMatrix,0.95,0.0,0.16352424128613782,0.188571186470517,5.303037111432448,0.188571186470517,0.20650665496922335
Polynomial,heteroskedastic,0.1,Bayesian,1.0,0.050000000000000044,2.0826647378027143,2.4016656951831297,0.4163776840405546,2.90166569518313,2.0826647378027143
LennardJones,homoskedastic,0.01,HatMatrix,0.572,0.378,0.0031712465280116565,0.00317271196922392,315.1877667119625,3.783172711969224,0.012848028103489955
LennardJones,homoskedastic,0.01,Bayesian,1.0,0.050000000000000044,2.0334542874472397,2.034393951926099,0.4915468801179005,2.5343939519260994,2.0334542874472397
LennardJones,homoskedastic,0.02,HatMatrix,0.586,0.364,0.006589305382454027,0.0065610969697060244,152.41353764731903,3.6465610969697058,0.0254371123445194
LennardJones,homoskedastic,0.02,Bayesian,1.0,0.050000000000000044,2.05095156862568,2.042171570580968,0.4896748218444323,2.5421715705809684,2.05095156862568
LennardJones,homoskedastic,0.05,HatMatrix,0.54,0.4099999999999999,0.014993310655851019,0.014910521960244534,67.06673332203053,4.114910521960244,0.07264869634815187
LennardJones,homoskedastic,0.05,Bayesian,1.0,0.050000000000000044,2.016794024995059,2.005657875650275,0.4985895212441352,2.5056578756502756,2.016794024995059
LennardJones,homoskedastic,0.1,HatMatrix,0.614,0.33599999999999997,0.03627819018490723,0.036456826229674694,27.429705309510236,3.396456826229674,0.12316675029811784
