exp_id,dataset,noise_model,noise_level,uq_method,coverage,mean_width,rmse,mae,r2
Quadratic_heteroskedastic_noise01,Quadratic,heteroskedastic,0.01,EnsembleCalibrated,1.0,5.08419362965817,0.4668589403418875,0.42569868273455935,-1.4410477468246068
Quadratic_heteroskedastic_noise02,Quadratic,heteroskedastic,0.02,Ensemble,1.0,8.857138580873912,0.2593765631357086,0.2325924077117108,0.2539809222715018
Quadratic_heteroskedastic_noise02,Quadratic,heteroskedastic,0.02,EnsembleCalibrated,1.0,4.49137943237471,0.2593765631357086,0.2325924077117108,0.2539809222715018
Quadratic_heteroskedastic_noise05,Quadratic,heteroskedastic,0.05,Ensemble,1.0,7.649559410668378,1.0966069422433413,1.0637456270698602,-11.968089829921356
Quadratic_heteroskedastic_noise05,Quadratic,heteroskedastic,0.05,EnsembleCalibrated,1.0,3.9627912276318926,1.0966069422433413,1.0637456270698602,-11.968089829921356
Quadratic_heteroskedastic_noise10,Quadratic,heteroskedastic,0.1,Ensemble,1.0,12.322446848948477,1.099683192617643,1.070660497436424,-10.735513615012904
Quadratic_heteroskedastic_noise10,Quadratic,heteroskedastic,0.1,EnsembleCalibrated,1.0,5.9588725945472145,1.099683192617643,1.070660497436424,-10.735513615012904
Cubic_homoskedastic_noise01,Cubic,homoskedastic,0.01,Ensemble,0.83,0.02188380051972703,0.007074387425205541,0.005169687254637395,0.9997708867545089
Cubic_homoskedastic_noise01,Cubic,homoskedastic,0.01,EnsembleCalibrated,0.85800004,0.022972457333484998,0.007074387425205541,0.005169687254637395,0.9997708867545089
Cubic_homoskedastic_noise02,Cubic,homoskedastic,0.02,Ensemble,0.78,0.0452348465538907,0.011363348485539946,0.009200086719125332,0.9994095944441261
Cubic_homoskedastic_noise02,Cubic,homoskedastic,0.02,EnsembleCalibrated,0.776,0.044512397762276126,0.011363348485539946,0.009200086719125332,0.9994095944441261
Cubic_homoskedastic_noise05,Cubic,homoskedastic,0.05,Ensemble,0.776,0.09974356649665393,0.045622888812933665,0.02927125234678199,0.9904927727899222
Cubic_homoskedastic_noise05,Cubic,homoskedastic,0.05,EnsembleCalibrated,0.77400005,0.09765166516850349,0.045622888812933665,0.02927125234678199,0.9904927727899222
Cubic_homoskedastic_noise10,Cubic,homoskedastic,0.1,Ensemble,0.826,0.15394252900834857,0.05460383487960701,0.04295820102373617,0.9863923399706774
Cubic_homoskedastic_noise10,Cubic,homoskedastic,0.1,EnsembleCalibrated,0.82400006,0.15149309956449847,0.05460383487960701,0.04295820102373617,0.9863923399706774
Cubic_heteroskedastic_noise01,Cubic,heteroskedastic,0.01,Ensemble,0.66,0.022882427034672928,0.016683886339275134,0.009949420883441572,0.998723916305656
Cubic_heteroskedastic_noise01,Cubic,heteroskedastic,0.01,EnsembleCalibrated,0.66400003,0.021898135915843907,0.016683886339275134,0.009949420883441572,0.998723916305656
Cubic_heteroskedastic_noise02,Cubic,heteroskedastic,0.02,Ensemble,0.844,0.05443382072684658,0.018161727050662567,0.012507865460557682,0.9984917281570974
