dataset,noise_model,noise_level,uq_method,n_train,n_test,coverage,rmse,mae,r2,mean_width,normalized_width,interval_score,miscalibration_area,coverage_extrap_low,coverage_interpolation,coverage_extrap_high,seed
Polynomial,homoskedastic,0.01,HatMatrix,51,500,0.904,0.0023297905055347247,0.0018739850797294267,0.9998932098175729,0.008050718072379314,0.010701360312534245,0.011143222964208053,0.05379555555555552,0.96,0.87,0.95,2323289028
Polynomial,homoskedastic,0.01,Bayesian,51,500,1.0,0.0023196146337702075,0.0018644516437917123,0.999894140639495,3.66061477234191,4.8658464117150375,3.66061477234191,0.4049499999999999,1.0,1.0,1.0,2323289028
Polynomial,homoskedastic,0.01,Conformal,51,500,0.964,0.0023319710341251822,0.0018758801178683764,0.9998930098270452,0.009616800094003078,0.0127830638129805,0.010828979164316799,0.010262469135802492,0.98,0.96,0.96,2323289028
Polynomial,homoskedastic,0.02,HatMatrix,51,500,0.932,0.004621328389500012,0.0037330994561126677,0.9995793672057229,0.016641498946277856,0.022116670298229543,0.021840071761272273,0.04271999999999997,0.96,0.9233333333333333,0.93,329255074
Polynomial,homoskedastic,0.02,Bayesian,51,500,1.0,0.004677448467972221,0.0037706319904527927,0.9995690890885601,3.460039455015644,4.598417011140863,3.460039455015644,0.4049499999999999,1.0,1.0,1.0,329255074
Polynomial,homoskedastic,0.02,Conformal,51,500,0.946,0.0046098488902333555,0.0037243147132642066,0.9995814543357412,0.017637990650004397,0.023441014850206957,0.021782357165163337,0.016316666666666643,0.96,0.94,0.95,329255074
Polynomial,homoskedastic,0.05,HatMatrix,51,500,0.936,0.011416412537915645,0.008903529609150486,0.9974413381822717,0.04322143408011794,0.055044668182879085,0.057110321784249594,0.010383333333333316,0.98,0.9233333333333333,0.93,970844461
Polynomial,homoskedastic,0.05,Bayesian,51,500,1.0,0.011477272178214338,0.008966940935835551,0.9974139855794423,3.324031487507968,4.233321132291749,3.324031487507968,0.4049499999999999,1.0,1.0,1.0,970844461
Polynomial,homoskedastic,0.05,Conformal,51,500,0.968,0.011430387189446974,0.008912631653467278,0.9974350703128163,0.052898752094606344,0.06736921896063197,0.05822202748427259,0.0641788888888889,0.96,0.9666666666666667,0.98,970844461
Polynomial,homoskedastic,0.1,HatMatrix,51,500,0.95,0.022633709577156724,0.018115730173440404,0.9901978151474978,0.08885312764775458,0.10934352805925095,0.10334433218983233,0.01169086419753084,0.98,0.9366666666666666,0.96,2417741217
Polynomial,homoskedastic,0.1,Bayesian,51,500,1.0,0.02427441845321831,0.019334805677666708,0.9887251939764369,2.5082263361127732,3.0866478651033735,2.5082263361127732,0.4049499999999999,1.0,1.0,1.0,2417741217
Polynomial,homoskedastic,0.1,Conformal,51,500,0.964,0.022623167515111346,0.018106334900766147,0.9902069441128942,0.09358876968534276,0.11517125547553708,0.10374219399294547,0.016217777777777807,0.98,0.96,0.96,2417741217
Polynomial,heteroskedastic,0.01,HatMatrix,51,500,0.936,0.0035976962160995975,0.0022383908136290485,0.9997454234413216,0.013711401551953429,0.018166300445375337,0.021322681785782442,0.11619444444444446,1.0,0.95,0.83,3773341621
Polynomial,heteroskedastic,0.01,Bayesian,51,500,1.0,0.0036147729647368577,0.0022957231393047374,0.9997430009703093,3.5474069787629774,4.699976201123538,3.5474069787629774,0.4049499999999999,1.0,1.0,1.0,3773341621
Polynomial,heteroskedastic,0.01,Conformal,51,500,0.95,0.0036001997574833,0.002243166889821156,0.9997450690118942,0.014674520377510927,0.019442341110028023,0.022386702969979584,0.13775222222222225,1.0,0.9766666666666667,0.82,3773341621
Polynomial,heteroskedastic,0.02,HatMatrix,51,500,0.944,0.007689904170698,0.0048167504166506695,0.9988328046208933,0.030594549316864218,0.03998152042540079,0.04552504851794279,0.1283797530864198,1.0,0.98,0.78,1653896476
Polynomial,heteroskedastic,0.02,Bayesian,51,500,1.0,0.007890729777214058,0.005049508905002883,0.9987710448159677,3.438118388239118,4.492996420396932,3.438118388239118,0.4049499999999999,1.0,1.0,1.0,1653896476
