exp_id,dataset,noise_model,noise_level,uq_method,coverage,mean_width,rmse,mae,r2
MichaelisMenten_heteroskedastic_noise10,MichaelisMenten,heteroskedastic,0.1,Conformal,1.0,0.5238987833607148,0.059091480032337565,0.045717408667502867,0.9155924631570755
Gaussian_homoskedastic_noise01,Gaussian,homoskedastic,0.01,Nlinfit,0.842,0.010228446979116804,0.0035838309783228035,0.002816448382679859,0.9998970715791733
Gaussian_homoskedastic_noise01,Gaussian,homoskedastic,0.01,Conformal,0.83,0.00997549862884537,0.003600922776069579,0.0028289650199414674,0.9998960874776492
Gaussian_homoskedastic_noise02,Gaussian,homoskedastic,0.02,Nlinfit,0.716,0.014539549593994254,0.007167952704254897,0.005570934445017055,0.999588929702792
Gaussian_homoskedastic_noise02,Gaussian,homoskedastic,0.02,Conformal,0.65,0.012732152589352836,0.0071551602183398755,0.0055598461214476265,0.9995903956495528
Gaussian_homoskedastic_noise05,Gaussian,homoskedastic,0.05,Nlinfit,0.77,0.04370310038949295,0.01841506845059298,0.014726598591854417,0.9973015996931698
Gaussian_homoskedastic_noise05,Gaussian,homoskedastic,0.05,Conformal,0.398,0.01848627130781601,0.018427732378390932,0.014720613848538542,0.9972978870708895
Gaussian_homoskedastic_noise10,Gaussian,homoskedastic,0.1,Nlinfit,0.708,0.07931560244131523,0.03690950266215375,0.029636075251350077,0.9893177017149957
Gaussian_homoskedastic_noise10,Gaussian,homoskedastic,0.1,Conformal,0.438,0.04611012391625502,0.036448293414275114,0.02929750943926769,0.9895829988720892
Gaussian_heteroskedastic_noise01,Gaussian,heteroskedastic,0.01,Nlinfit,0.864,0.013458102674656287,0.005295296424246585,0.0030071008606493547,0.9997758844695059
Gaussian_heteroskedastic_noise01,Gaussian,heteroskedastic,0.01,Conformal,0.584,0.003751345774303584,0.005255432623481265,0.0030022096114194533,0.999779246120118
Gaussian_heteroskedastic_noise02,Gaussian,heteroskedastic,0.02,Nlinfit,0.888,0.0316329477477582,0.011312670012241904,0.006404337916766692,0.9989744340612698
Gaussian_heteroskedastic_noise02,Gaussian,heteroskedastic,0.02,Conformal,0.546,0.006140849248836951,0.011366602917588838,0.006424478384131604,0.9989646320252487
Gaussian_heteroskedastic_noise05,Gaussian,heteroskedastic,0.05,Nlinfit,0.806,0.06122656682887289,0.028617611031160978,0.01733388712697673,0.9934939307662686
Gaussian_heteroskedastic_noise05,Gaussian,heteroskedastic,0.05,Conformal,0.642,0.030002139727030065,0.03010925835031856,0.01852780761124931,0.9927980177981958
Gaussian_heteroskedastic_noise10,Gaussian,heteroskedastic,0.1,Nlinfit,0.836,0.12759837357386164,0.05836183658436804,0.03469265829000217,0.9735515940446323
Gaussian_heteroskedastic_noise10,Gaussian,heteroskedastic,0.1,Conformal,0.694,0.08026778177160258,0.06324742744242123,0.03807628135727128,0.9689381489507484
