alpha_1,alpha_2,lambda_1,lambda_2,dataset,noise_model,noise_level,coverage,width,score
1e-06,1e-06,1e-06,1e-05,Shomate,heteroskedastic,0.02,1.0,0.8818700130269342,0.4409350065134671
1e-06,1e-06,1e-06,1e-05,Shomate,heteroskedastic,0.05,1.0,0.886547872227999,0.4432739361139995
1e-06,1e-06,1e-06,1e-05,Shomate,heteroskedastic,0.1,1.0,1.1945714076801208,0.5972857038400604
1e-06,1e-06,1e-05,1e-07,Line,homoskedastic,0.01,1.0,3.125851797254277,1.5629258986271386
1e-06,1e-06,1e-05,1e-07,Line,homoskedastic,0.02,1.0,3.1412151153703274,1.5706075576851637
1e-06,1e-06,1e-05,1e-07,Line,homoskedastic,0.05,1.0,3.129582930894834,1.564791465447417
1e-06,1e-06,1e-05,1e-07,Line,homoskedastic,0.1,1.0,3.105876251565499,1.5529381257827495
1e-06,1e-06,1e-05,1e-07,Line,heteroskedastic,0.01,1.0,3.1394331860831444,1.5697165930415722
1e-06,1e-06,1e-05,1e-07,Line,heteroskedastic,0.02,1.0,3.155392228453378,1.577696114226689
1e-06,1e-06,1e-05,1e-07,Line,heteroskedastic,0.05,1.0,3.1159923711627417,1.5579961855813709
1e-06,1e-06,1e-05,1e-07,Line,heteroskedastic,0.1,1.0,3.065060342577619,1.5325301712888095
1e-06,1e-06,1e-05,1e-07,Polynomial,homoskedastic,0.01,1.0,3.660602446835547,1.8303012234177736
1e-06,1e-06,1e-05,1e-07,Polynomial,homoskedastic,0.02,1.0,3.4600274317160293,1.7300137158580147
1e-06,1e-06,1e-05,1e-07,Polynomial,homoskedastic,0.05,1.0,3.3240174820673665,1.6620087410336832
1e-06,1e-06,1e-05,1e-07,Polynomial,homoskedastic,0.1,1.0,2.5082018352883235,1.2541009176441618
1e-06,1e-06,1e-05,1e-07,Polynomial,heteroskedastic,0.01,1.0,3.5473947363275466,1.7736973681637733
1e-06,1e-06,1e-05,1e-07,Polynomial,heteroskedastic,0.02,1.0,3.4381055766781055,1.7190527883390527
1e-06,1e-06,1e-05,1e-07,Polynomial,heteroskedastic,0.05,1.0,1.8078564457181014,0.9039282228590507
1e-06,1e-06,1e-05,1e-07,Polynomial,heteroskedastic,0.1,1.0,2.083450957555054,1.041725478777527
1e-06,1e-06,1e-05,1e-07,LennardJones,homoskedastic,0.01,1.0,2.033700963888565,1.0168504819442825
1e-06,1e-06,1e-05,1e-07,LennardJones,homoskedastic,0.02,1.0,2.0512235160725933,1.0256117580362967
1e-06,1e-06,1e-05,1e-07,LennardJones,homoskedastic,0.05,1.0,2.017044215491911,1.0085221077459554
1e-06,1e-06,1e-05,1e-07,LennardJones,homoskedastic,0.1,1.0,2.094505631438142,1.047252815719071
1e-06,1e-06,1e-05,1e-07,LennardJones,heteroskedastic,0.01,1.0,2.038385566438598,1.019192783219299
1e-06,1e-06,1e-05,1e-07,LennardJones,heteroskedastic,0.02,1.0,1.9635191739660416,0.9817595869830208
1e-06,1e-06,1e-05,1e-07,LennardJones,heteroskedastic,0.05,1.0,2.0292049526075067,1.0146024763037533
1e-06,1e-06,1e-05,1e-07,LennardJones,heteroskedastic,0.1,1.0,2.132743369139998,1.066371684569999
1e-06,1e-06,1e-05,1e-07,Shomate,homoskedastic,0.01,1.0,1.6012417243087453,0.8006208621543727
1e-06,1e-06,1e-05,1e-07,Shomate,homoskedastic,0.02,1.0,2.0610453380584177,1.0305226690292089
1e-06,1e-06,1e-05,1e-07,Shomate,homoskedastic,0.05,1.0,1.7640361854736604,0.8820180927368302
1e-06,1e-06,1e-05,1e-07,Shomate,homoskedastic,0.1,1.0,2.1594050012727206,1.0797025006363603
1e-06,1e-06,1e-05,1e-07,Shomate,heteroskedastic,0.01,1.0,1.2937410905533502,0.6468705452766751
1e-06,1e-06,1e-05,1e-07,Shomate,heteroskedastic,0.02,1.0,0.8817862678732223,0.44089313393661117
1e-06,1e-06,1e-05,1e-07,Shomate,heteroskedastic,0.05,1.0,0.8864206799446799,0.44321033997233994
1e-06,1e-06,1e-05,1e-07,Shomate,heteroskedastic,0.1,1.0,1.1944723711733816,0.5972361855866908
1e-06,1e-06,1e-05,1e-06,Line,homoskedastic,0.01,1.0,3.12585622133841,1.562928110669205
1e-06,1e-06,1e-05,1e-06,Line,homoskedastic,0.02,1.0,3.1412195178456703,1.5706097589228352
1e-06,1e-06,1e-05,1e-06,Line,homoskedastic,0.05,1.0,3.1295873502606986,1.5647936751303493
1e-06,1e-06,1e-05,1e-06,Line,homoskedastic,0.1,1.0,3.1058807061208866,1.5529403530604433
1e-06,1e-06,1e-05,1e-06,Line,heteroskedastic,0.01,1.0,3.1394375910958825,1.5697187955479412
1e-06,1e-06,1e-05,1e-06,Line,heteroskedastic,0.02,1.0,3.155396611617408,1.577698305808704
1e-06,1e-06,1e-05,1e-06,Line,heteroskedastic,0.05,1.0,3.1159968120805632,1.5579984060402816
1e-06,1e-06,1e-05,1e-06,Line,heteroskedastic,0.1,1.0,3.065064866664625,1.5325324333323125
1e-06,1e-06,1e-05,1e-06,Polynomial,homoskedastic,0.01,1.0,3.660603714828548,1.830301857414274
1e-06,1e-06,1e-05,1e-06,Polynomial,homoskedastic,0.02,1.0,3.4600287995975862,1.7300143997987931
1e-06,1e-06,1e-05,1e-06,Polynomial,homoskedastic,0.05,1.0,3.324019193024201,1.6620095965121005
1e-06,1e-06,1e-05,1e-06,Polynomial,homoskedastic,0.1,1.0,2.50820666777464,1.25410333388732
1e-06,1e-06,1e-05,1e-06,Polynomial,heteroskedastic,0.01,1.0,3.5473960685917474,1.7736980342958737
1e-06,1e-06,1e-05,1e-06,Polynomial,heteroskedastic,0.02,1.0,3.4381070513588985,1.7190535256794492
1e-06,1e-06,1e-05,1e-06,Polynomial,heteroskedastic,0.05,1.0,1.8078598602155678,0.9039299301077839
1e-06,1e-06,1e-05,1e-06,Polynomial,heteroskedastic,0.1,1.0,2.0834630996060644,1.0417315498030322
1e-06,1e-06,1e-05,1e-06,LennardJones,homoskedastic,0.01,1.0,2.033704364498566,1.016852182249283
1e-06,1e-06,1e-05,1e-06,LennardJones,homoskedastic,0.02,1.0,2.051226889261219,1.0256134446306095
1e-06,1e-06,1e-05,1e-06,LennardJones,homoskedastic,0.05,1.0,2.0170476548421914,1.0085238274210957
1e-06,1e-06,1e-05,1e-06,LennardJones,homoskedastic,0.1,1.0,2.0945089913024284,1.0472544956512142
1e-06,1e-06,1e-05,1e-06,LennardJones,heteroskedastic,0.01,1.0,2.038388962231908,1.019194481115954
1e-06,1e-06,1e-05,1e-06,LennardJones,heteroskedastic,0.02,1.0,1.963522713035905,0.9817613565179525
1e-06,1e-06,1e-05,1e-06,LennardJones,heteroskedastic,0.05,1.0,2.029208471095867,1.0146042355479334
1e-06,1e-06,1e-05,1e-06,LennardJones,heteroskedastic,0.1,1.0,2.132747219233311,1.0663736096166554
1e-06,1e-06,1e-05,1e-06,Shomate,homoskedastic,0.01,1.0,1.6012449250300993,0.8006224625150496
1e-06,1e-06,1e-05,1e-06,Shomate,homoskedastic,0.02,1.0,2.0610478068519384,1.0305239034259692
1e-06,1e-06,1e-05,1e-06,Shomate,homoskedastic,0.05,1.0,1.7640412239401413,0.8820206119700706
1e-06,1e-06,1e-05,1e-06,Shomate,homoskedastic,0.1,1.0,2.159410918635701,1.0797054593178506
1e-06,1e-06,1e-05,1e-06,Shomate,heteroskedastic,0.01,1.0,1.2937457041636393,0.6468728520818197
1e-06,1e-06,1e-05,1e-06,Shomate,heteroskedastic,0.02,1.0,0.8817935974729485,0.44089679873647425
1e-06,1e-06,1e-05,1e-06,Shomate,heteroskedastic,0.05,1.0,0.8864319059751551,0.44321595298757754
1e-06,1e-06,1e-05,1e-06,Shomate,heteroskedastic,0.1,1.0,1.1944809139206491,0.5972404569603246
1e-06,1e-06,1e-05,1e-05,Line,homoskedastic,0.01,1.0,3.1259004618353585,1.5629502309176793
1e-06,1e-06,1e-05,1e-05,Line,homoskedastic,0.02,1.0,3.1412635422597366,1.5706317711298683
1e-06,1e-06,1e-05,1e-05,Line,homoskedastic,0.05,1.0,3.129631543575937,1.5648157717879685
1e-06,1e-06,1e-05,1e-05,Line,homoskedastic,0.1,1.0,3.105925251322733,1.5529626256613664
1e-06,1e-06,1e-05,1e-05,Line,heteroskedastic,0.01,1.0,3.1394816408832886,1.5697408204416443
1e-06,1e-06,1e-05,1e-05,Line,heteroskedastic,0.02,1.0,3.1554404429226857,1.5777202214613428
1e-06,1e-06,1e-05,1e-05,Line,heteroskedastic,0.05,1.0,3.116041220909786,1.558020610454893
1e-06,1e-06,1e-05,1e-05,Line,heteroskedastic,0.1,1.0,3.0651101071634157,1.5325550535817078
1e-06,1e-06,1e-05,1e-05,Polynomial,homoskedastic,0.01,1.0,3.660616394730603,1.8303081973653015
1e-06,1e-06,1e-05,1e-05,Polynomial,homoskedastic,0.02,1.0,3.4600424783754185,1.7300212391877092
1e-06,1e-06,1e-05,1e-05,Polynomial,homoskedastic,0.05,1.0,3.3240363025138087,1.6620181512569043
1e-06,1e-06,1e-05,1e-05,Polynomial,homoskedastic,0.1,1.0,2.5082549909559915,1.2541274954779957
1e-06,1e-06,1e-05,1e-05,Polynomial,heteroskedastic,0.01,1.0,3.547409391203397,1.7737046956016984
1e-06,1e-06,1e-05,1e-05,Polynomial,heteroskedastic,0.02,1.0,3.438121798119315,1.7190608990596574
1e-06,1e-06,1e-05,1e-05,Polynomial,heteroskedastic,0.05,1.0,1.8078940046513308,0.9039470023256654
1e-06,1e-06,1e-05,1e-05,Polynomial,heteroskedastic,0.1,1.0,2.0835845241870063,1.0417922620935032
1e-06,1e-06,1e-05,1e-05,LennardJones,homoskedastic,0.01,1.0,2.033738370285619,1.0168691851428096
1e-06,1e-06,1e-05,1e-05,LennardJones,homoskedastic,0.02,1.0,2.051260620841603,1.0256303104208015
1e-06,1e-06,1e-05,1e-05,LennardJones,homoskedastic,0.05,1.0,2.017082048018247,1.0085410240091235
1e-06,1e-06,1e-05,1e-05,LennardJones,homoskedastic,0.1,1.0,2.0945425896280603,1.0472712948140301
1e-06,1e-06,1e-05,1e-05,LennardJones,heteroskedastic,0.01,1.0,2.0384229198525063,1.0192114599262532
1e-06,1e-06,1e-05,1e-05,LennardJones,heteroskedastic,0.02,1.0,1.9635581033767329,0.9817790516883664
1e-06,1e-06,1e-05,1e-05,LennardJones,heteroskedastic,0.05,1.0,2.0292436556012636,1.0146218278006318
1e-06,1e-06,1e-05,1e-05,LennardJones,heteroskedastic,0.1,1.0,2.1327857195358537,1.0663928597679269
1e-06,1e-06,1e-05,1e-05,Shomate,homoskedastic,0.01,1.0,1.6012769318563946,0.8006384659281973
1e-06,1e-06,1e-05,1e-05,Shomate,homoskedastic,0.02,1.0,2.061072494569402,1.030536247284701
1e-06,1e-06,1e-05,1e-05,Shomate,homoskedastic,0.05,1.0,1.7640916059267124,0.8820458029633562
1e-06,1e-06,1e-05,1e-05,Shomate,homoskedastic,0.1,1.0,2.1594700862627456,1.0797350431313728
1e-06,1e-06,1e-05,1e-05,Shomate,heteroskedastic,0.01,1.0,1.2937918385732992,0.6468959192866496
1e-06,1e-06,1e-05,1e-05,Shomate,heteroskedastic,0.02,1.0,0.8818668885517149,0.44093344427585746
1e-06,1e-06,1e-05,1e-05,Shomate,heteroskedastic,0.05,1.0,0.8865441539673327,0.44327207698366633
1e-06,1e-06,1e-05,1e-05,Shomate,heteroskedastic,0.1,1.0,1.1945663352700089,0.5972831676350044
1e-06,1e-05,1e-07,1e-07,Line,homoskedastic,0.01,1.0,3.125883482189787,1.5629417410948936
1e-06,1e-05,1e-07,1e-07,Line,homoskedastic,0.02,1.0,3.1412469443593274,1.5706234721796637
1e-06,1e-05,1e-07,1e-07,Line,homoskedastic,0.05,1.0,3.129614623433127,1.5648073117165635
1e-06,1e-05,1e-07,1e-07,Line,homoskedastic,0.1,1.0,3.1059076939814685,1.5529538469907342
1e-06,1e-05,1e-07,1e-07,Line,heteroskedastic,0.01,1.0,3.1394649708310576,1.5697324854155288
1e-06,1e-05,1e-07,1e-07,Line,heteroskedastic,0.02,1.0,3.155424172793975,1.5777120863969876
1e-06,1e-05,1e-07,1e-07,Line,heteroskedastic,0.05,1.0,3.116023915276839,1.5580119576384195
1e-06,1e-05,1e-07,1e-07,Line,heteroskedastic,0.1,1.0,3.065091341566005,1.5325456707830025
1e-06,1e-05,1e-07,1e-07,Polynomial,homoskedastic,0.01,1.0,3.659434743012714,1.829717371506357
1e-06,1e-05,1e-07,1e-07,Polynomial,homoskedastic,0.02,1.0,3.4590572507476662,1.7295286253738331
1e-06,1e-05,1e-07,1e-07,Polynomial,homoskedastic,0.05,1.0,3.322827860968612,1.661413930484306
1e-06,1e-05,1e-07,1e-07,Polynomial,homoskedastic,0.1,1.0,2.506852926856406,1.253426463428203
1e-06,1e-05,1e-07,1e-07,Polynomial,heteroskedastic,0.01,1.0,3.545850930802935,1.7729254654014674
1e-06,1e-05,1e-07,1e-07,Polynomial,heteroskedastic,0.02,1.0,3.4370418197715393,1.7185209098857697
1e-06,1e-05,1e-07,1e-07,Polynomial,heteroskedastic,0.05,1.0,1.8077108535494748,0.9038554267747374
1e-06,1e-05,1e-07,1e-07,Polynomial,heteroskedastic,0.1,1.0,2.082701875686502,1.041350937843251
1e-06,1e-05,1e-07,1e-07,LennardJones,homoskedastic,0.01,1.0,2.033464358517842,1.016732179258921
1e-06,1e-05,1e-07,1e-07,LennardJones,homoskedastic,0.02,1.0,2.0509617311515544,1.0254808655757772
1e-06,1e-05,1e-07,1e-07,LennardJones,homoskedastic,0.05,1.0,2.0168040419530624,1.0084020209765312
1e-06,1e-05,1e-07,1e-07,LennardJones,homoskedastic,0.1,1.0,2.094232785007328,1.047116392503664
1e-06,1e-05,1e-07,1e-07,LennardJones,heteroskedastic,0.01,1.0,2.0381751755728335,1.0190875877864167
1e-06,1e-05,1e-07,1e-07,LennardJones,heteroskedastic,0.02,1.0,1.9632580287508967,0.9816290143754484
1e-06,1e-05,1e-07,1e-07,LennardJones,heteroskedastic,0.05,1.0,2.0289817885795647,1.0144908942897823
1e-06,1e-05,1e-07,1e-07,LennardJones,heteroskedastic,0.1,1.0,2.1324168598169244,1.0662084299084622
1e-06,1e-05,1e-07,1e-07,Shomate,homoskedastic,0.01,1.0,1.5986446961563447,0.7993223480781724
1e-06,1e-05,1e-07,1e-07,Shomate,homoskedastic,0.02,1.0,2.060225144789824,1.030112572394912
1e-06,1e-05,1e-07,1e-07,Shomate,homoskedastic,0.05,1.0,1.7630173257845405,0.8815086628922703
1e-06,1e-05,1e-07,1e-07,Shomate,homoskedastic,0.1,1.0,2.1580863893458866,1.0790431946729433
1e-06,1e-05,1e-07,1e-07,Shomate,heteroskedastic,0.01,1.0,1.292866335933874,0.646433167966937
1e-06,1e-05,1e-07,1e-07,Shomate,heteroskedastic,0.02,1.0,0.8818472667132332,0.4409236333566166
1e-06,1e-05,1e-07,1e-07,Shomate,heteroskedastic,0.05,1.0,0.8864350497736718,0.4432175248868359
1e-06,1e-05,1e-07,1e-07,Shomate,heteroskedastic,0.1,1.0,1.1944824483404757,0.5972412241702378
1e-06,1e-05,1e-07,1e-06,Line,homoskedastic,0.01,1.0,3.1258879063179075,1.5629439531589537
1e-06,1e-05,1e-07,1e-06,Line,homoskedastic,0.02,1.0,3.141251346878483,1.5706256734392414
1e-06,1e-05,1e-07,1e-06,Line,homoskedastic,0.05,1.0,3.129619042843174,1.564809521421587
1e-06,1e-05,1e-07,1e-06,Line,homoskedastic,0.1,1.0,3.105912148581515,1.5529560742907575
1e-06,1e-05,1e-07,1e-06,Line,heteroskedastic,0.01,1.0,3.1394693758878955,1.5697346879439478
1e-06,1e-05,1e-07,1e-06,Line,heteroskedastic,0.02,1.0,3.1554285560018,1.5777142780009
1e-06,1e-05,1e-07,1e-06,Line,heteroskedastic,0.05,1.0,3.1160283562390743,1.5580141781195371
1e-06,1e-05,1e-07,1e-06,Line,heteroskedastic,0.1,1.0,3.0650958656981255,1.5325479328490628
1e-06,1e-05,1e-07,1e-06,Polynomial,homoskedastic,0.01,1.0,3.659436012440831,1.8297180062204155
1e-06,1e-05,1e-07,1e-06,Polynomial,homoskedastic,0.02,1.0,3.459058620012881,1.7295293100064404
1e-06,1e-05,1e-07,1e-06,Polynomial,homoskedastic,0.05,1.0,3.3228295741387774,1.6614147870693887
1e-06,1e-05,1e-07,1e-06,Polynomial,homoskedastic,0.1,1.0,2.5068577660303917,1.2534288830151958
1e-06,1e-05,1e-07,1e-06,Polynomial,heteroskedastic,0.01,1.0,3.545852265118627,1.7729261325593135
1e-06,1e-05,1e-07,1e-06,Polynomial,heteroskedastic,0.02,1.0,3.4370432961121873,1.7185216480560936
1e-06,1e-05,1e-07,1e-06,Polynomial,heteroskedastic,0.05,1.0,1.8077142685801384,0.9038571342900692
1e-06,1e-05,1e-07,1e-06,Polynomial,heteroskedastic,0.1,1.0,2.0827140001754167,1.0413570000877084
1e-06,1e-05,1e-07,1e-06,LennardJones,homoskedastic,0.01,1.0,2.033467760977445,1.0167338804887225
1e-06,1e-05,1e-07,1e-06,LennardJones,homoskedastic,0.02,1.0,2.0509651063304237,1.0254825531652119
1e-06,1e-05,1e-07,1e-06,LennardJones,homoskedastic,0.05,1.0,2.0168074831975376,1.0084037415987688
1e-06,1e-05,1e-07,1e-06,LennardJones,homoskedastic,0.1,1.0,2.0942361469242003,1.0471180734621002
1e-06,1e-05,1e-07,1e-06,LennardJones,heteroskedastic,0.01,1.0,2.0381785729805504,1.0190892864902752
1e-06,1e-05,1e-07,1e-06,LennardJones,heteroskedastic,0.02,1.0,1.9632615700546057,0.9816307850273028
1e-06,1e-05,1e-07,1e-06,LennardJones,heteroskedastic,0.05,1.0,2.0289853088906105,1.0144926544453052
1e-06,1e-05,1e-07,1e-06,LennardJones,heteroskedastic,0.1,1.0,2.1324207125263626,1.0662103562631813
1e-06,1e-05,1e-07,1e-06,Shomate,homoskedastic,0.01,1.0,1.5986478948966343,0.7993239474483171
1e-06,1e-05,1e-07,1e-06,Shomate,homoskedastic,0.02,1.0,2.0602276172154657,1.0301138086077328
1e-06,1e-05,1e-07,1e-06,Shomate,homoskedastic,0.05,1.0,1.7630223765460422,0.8815111882730211
1e-06,1e-05,1e-07,1e-06,Shomate,homoskedastic,0.1,1.0,2.158092328041028,1.079046164020514
1e-06,1e-05,1e-07,1e-06,Shomate,heteroskedastic,0.01,1.0,1.292870962994177,0.6464354814970885
1e-06,1e-05,1e-07,1e-06,Shomate,heteroskedastic,0.02,1.0,0.8818545979129604,0.4409272989564802
1e-06,1e-05,1e-07,1e-06,Shomate,heteroskedastic,0.05,1.0,0.8864462761671196,0.4432231380835598
1e-06,1e-05,1e-07,1e-06,Shomate,heteroskedastic,0.1,1.0,1.194490991246897,0.5972454956234485
1e-06,1e-05,1e-07,1e-05,Line,homoskedastic,0.01,1.0,3.1259321472547286,1.5629660736273643
1e-06,1e-05,1e-07,1e-05,Line,homoskedastic,0.02,1.0,3.1412953717306644,1.5706476858653322
1e-06,1e-05,1e-07,1e-05,Line,homoskedastic,0.05,1.0,3.129663236600226,1.564831618300113
1e-06,1e-05,1e-07,1e-05,Line,homoskedastic,0.1,1.0,3.1059566942299583,1.5529783471149792
1e-06,1e-05,1e-07,1e-05,Line,heteroskedastic,0.01,1.0,3.1395134261163107,1.5697567130581553
1e-06,1e-05,1e-07,1e-05,Line,heteroskedastic,0.02,1.0,3.155472387745025,1.5777361938725125
1e-06,1e-05,1e-07,1e-05,Line,heteroskedastic,0.05,1.0,3.1160727655124094,1.5580363827562047
1e-06,1e-05,1e-07,1e-05,Line,heteroskedastic,0.1,1.0,3.0651411066480554,1.5325705533240277
1e-06,1e-05,1e-07,1e-05,Polynomial,homoskedastic,0.01,1.0,3.659448706703533,1.8297243533517664
1e-06,1e-05,1e-07,1e-05,Polynomial,homoskedastic,0.02,1.0,3.4590723126362835,1.7295361563181417
1e-06,1e-05,1e-07,1e-05,Polynomial,homoskedastic,0.05,1.0,3.322846705755002,1.661423352877501
1e-06,1e-05,1e-07,1e-05,Polynomial,homoskedastic,0.1,1.0,2.5069061560899963,1.2534530780449982
1e-06,1e-05,1e-07,1e-05,Polynomial,heteroskedastic,0.01,1.0,3.54586560824603,1.772932804123015
1e-06,1e-05,1e-07,1e-05,Polynomial,heteroskedastic,0.02,1.0,3.437058059471543,1.7185290297357716
1e-06,1e-05,1e-07,1e-05,Polynomial,heteroskedastic,0.05,1.0,1.8077484183475423,0.9038742091737711
1e-06,1e-05,1e-07,1e-05,Polynomial,heteroskedastic,0.1,1.0,2.082835249116457,1.0414176245582285
1e-06,1e-05,1e-07,1e-05,LennardJones,homoskedastic,0.01,1.0,2.0335017852596478,1.0167508926298239
1e-06,1e-05,1e-07,1e-05,LennardJones,homoskedastic,0.02,1.0,2.0509988578122678,1.0254994289061339
1e-06,1e-05,1e-07,1e-05,LennardJones,homoskedastic,0.05,1.0,2.016841895314577,1.0084209476572885
1e-06,1e-05,1e-07,1e-05,LennardJones,homoskedastic,0.1,1.0,2.0942697657748077,1.0471348828874039
1e-06,1e-05,1e-07,1e-05,LennardJones,heteroskedastic,0.01,1.0,2.0382125467444916,1.0191062733722458
1e-06,1e-05,1e-07,1e-05,LennardJones,heteroskedastic,0.02,1.0,1.9632969827327582,0.9816484913663791
1e-06,1e-05,1e-07,1e-05,LennardJones,heteroskedastic,0.05,1.0,2.0290205116219386,1.0145102558109693
1e-06,1e-05,1e-07,1e-05,LennardJones,heteroskedastic,0.1,1.0,2.132459238988498,1.066229619494249
1e-06,1e-05,1e-07,1e-05,Shomate,homoskedastic,0.01,1.0,1.5986798819603982,0.7993399409801991
1e-06,1e-05,1e-07,1e-05,Shomate,homoskedastic,0.02,1.0,2.0602523412659868,1.0301261706329934
1e-06,1e-05,1e-07,1e-05,Shomate,homoskedastic,0.05,1.0,1.763072881458634,0.881536440729317
1e-06,1e-05,1e-07,1e-05,Shomate,homoskedastic,0.1,1.0,2.1581517089054083,1.0790758544527042
1e-06,1e-05,1e-07,1e-05,Shomate,heteroskedastic,0.01,1.0,1.2929172318840128,0.6464586159420064
1e-06,1e-05,1e-07,1e-05,Shomate,heteroskedastic,0.02,1.0,0.8819279049906854,0.4409639524953427
1e-06,1e-05,1e-07,1e-05,Shomate,heteroskedastic,0.05,1.0,0.886558527787402,0.443279263893701
1e-06,1e-05,1e-07,1e-05,Shomate,heteroskedastic,0.1,1.0,1.1945764141874615,0.5972882070937308
1e-06,1e-05,1e-06,1e-07,Line,homoskedastic,0.01,1.0,3.125880668915958,1.562940334457979
1e-06,1e-05,1e-06,1e-07,Line,homoskedastic,0.02,1.0,3.1412441172787413,1.5706220586393707
1e-06,1e-05,1e-06,1e-07,Line,homoskedastic,0.05,1.0,3.1296118071146295,1.5648059035573147
1e-06,1e-05,1e-06,1e-07,Line,homoskedastic,0.1,1.0,3.1059048996518426,1.5529524498259213
1e-06,1e-05,1e-06,1e-07,Line,heteroskedastic,0.01,1.0,3.1394621453651315,1.5697310726825657
1e-06,1e-05,1e-06,1e-07,Line,heteroskedastic,0.02,1.0,3.155421333224859,1.5777106666124294
1e-06,1e-05,1e-06,1e-07,Line,heteroskedastic,0.05,1.0,3.1160211124120423,1.5580105562060211
1e-06,1e-05,1e-06,1e-07,Line,heteroskedastic,0.1,1.0,3.065088589767457,1.5325442948837285
1e-06,1e-05,1e-06,1e-07,Polynomial,homoskedastic,0.01,1.0,3.659433636726021,1.8297168183630106
1e-06,1e-05,1e-06,1e-07,Polynomial,homoskedastic,0.02,1.0,3.459056184742607,1.7295280923713034
1e-06,1e-05,1e-06,1e-07,Polynomial,homoskedastic,0.05,1.0,3.322826630826722,1.661413315413361
1e-06,1e-05,1e-06,1e-07,Polynomial,homoskedastic,0.1,1.0,2.506850959444464,1.253425479722232
1e-06,1e-05,1e-06,1e-07,Polynomial,heteroskedastic,0.01,1.0,3.5458498390652404,1.7729249195326202
1e-06,1e-05,1e-06,1e-07,Polynomial,heteroskedastic,0.02,1.0,3.4370406855340323,1.7185203427670162
1e-06,1e-05,1e-06,1e-07,Polynomial,heteroskedastic,0.05,1.0,1.807710129368299,0.9038550646841494
1e-06,1e-05,1e-06,1e-07,Polynomial,heteroskedastic,0.1,1.0,2.082698509211632,1.041349254605816
1e-06,1e-05,1e-06,1e-07,LennardJones,homoskedastic,0.01,1.0,2.0334634429609757,1.0167317214804878
1e-06,1e-05,1e-06,1e-07,LennardJones,homoskedastic,0.02,1.0,2.050960807281576,1.025480403640788
1e-06,1e-05,1e-06,1e-07,LennardJones,homoskedastic,0.05,1.0,2.0168031313217374,1.0084015656608687
1e-06,1e-05,1e-06,1e-07,LennardJones,homoskedastic,0.1,1.0,2.0942318271102103,1.0471159135551051
1e-06,1e-05,1e-06,1e-07,LennardJones,heteroskedastic,0.01,1.0,2.038174257196761,1.0190871285983805
1e-06,1e-05,1e-06,1e-07,LennardJones,heteroskedastic,0.02,1.0,1.9632571409313873,0.9816285704656936
1e-06,1e-05,1e-06,1e-07,LennardJones,heteroskedastic,0.05,1.0,2.0289808483479663,1.0144904241739832
1e-06,1e-05,1e-06,1e-07,LennardJones,heteroskedastic,0.1,1.0,2.1324157357766333,1.0662078678883167
1e-06,1e-05,1e-06,1e-07,Shomate,homoskedastic,0.01,1.0,1.5986441844720451,0.7993220922360226
1e-06,1e-05,1e-06,1e-07,Shomate,homoskedastic,0.02,1.0,2.0602244895005146,1.0301122447502573
1e-06,1e-05,1e-06,1e-07,Shomate,homoskedastic,0.05,1.0,1.763016403862173,0.8815082019310865
1e-06,1e-05,1e-06,1e-07,Shomate,homoskedastic,0.1,1.0,2.1580848200010054,1.0790424100005027
1e-06,1e-05,1e-06,1e-07,Shomate,heteroskedastic,0.01,1.0,1.2928658672799358,0.6464329336399679
1e-06,1e-05,1e-06,1e-07,Shomate,heteroskedastic,0.02,1.0,0.8818469542249779,0.44092347711248897
1e-06,1e-05,1e-06,1e-07,Shomate,heteroskedastic,0.05,1.0,0.8864346779802232,0.4432173389901116
1e-06,1e-05,1e-06,1e-07,Shomate,heteroskedastic,0.1,1.0,1.1944819411157959,0.5972409705578979
1e-06,1e-05,1e-06,1e-06,Line,homoskedastic,0.01,1.0,3.1258850930400968,1.5629425465200484
1e-06,1e-05,1e-06,1e-06,Line,homoskedastic,0.02,1.0,3.141248519793934,1.570624259896967
1e-06,1e-05,1e-06,1e-06,Line,homoskedastic,0.05,1.0,3.1296162265206986,1.5648081132603493
1e-06,1e-05,1e-06,1e-06,Line,homoskedastic,0.1,1.0,3.1059093542478826,1.5529546771239413
1e-06,1e-05,1e-06,1e-06,Line,heteroskedastic,0.01,1.0,3.1394665504180046,1.5697332752090023
1e-06,1e-05,1e-06,1e-06,Line,heteroskedastic,0.02,1.0,3.1554257164287396,1.5777128582143698
1e-06,1e-05,1e-06,1e-06,Line,heteroskedastic,0.05,1.0,3.1160255533702825,1.5580127766851413
1e-06,1e-05,1e-06,1e-06,Line,heteroskedastic,0.1,1.0,3.065093113895519,1.5325465569477594
1e-06,1e-05,1e-06,1e-06,Polynomial,homoskedastic,0.01,1.0,3.6594349061537583,1.8297174530768792
1e-06,1e-05,1e-06,1e-06,Polynomial,homoskedastic,0.02,1.0,3.4590575540078956,1.7295287770039478
1e-06,1e-05,1e-06,1e-06,Polynomial,homoskedastic,0.05,1.0,3.3228283439978954,1.6614141719989477
1e-06,1e-05,1e-06,1e-06,Polynomial,homoskedastic,0.1,1.0,2.506855798623101,1.2534278993115504
1e-06,1e-05,1e-06,1e-06,Polynomial,heteroskedastic,0.01,1.0,3.5458511733814952,1.7729255866907476
