alpha_1,alpha_2,lambda_1,lambda_2,dataset,noise_model,noise_level,coverage,width,score
1e-07,1e-07,1e-05,1e-07,Polynomial,heteroskedastic,0.1,1.0,2.0835296005041393,1.0417648002520696
1e-07,1e-07,1e-05,1e-07,LennardJones,homoskedastic,0.01,1.0,2.0337256290268946,1.0168628145134473
1e-07,1e-07,1e-05,1e-07,LennardJones,homoskedastic,0.02,1.0,2.051250707711,1.0256253538555
1e-07,1e-07,1e-05,1e-07,LennardJones,homoskedastic,0.05,1.0,2.0170692319752455,1.0085346159876227
1e-07,1e-07,1e-05,1e-07,LennardJones,homoskedastic,0.1,1.0,2.09453396639534,1.04726698319767
1e-07,1e-07,1e-05,1e-07,LennardJones,heteroskedastic,0.01,1.0,2.0384076136258336,1.0192038068129168
1e-07,1e-07,1e-05,1e-07,LennardJones,heteroskedastic,0.02,1.0,1.9635462622423032,0.9817731311211516
1e-07,1e-07,1e-05,1e-07,LennardJones,heteroskedastic,0.05,1.0,2.0292283006226746,1.0146141503113373
1e-07,1e-07,1e-05,1e-07,LennardJones,heteroskedastic,0.1,1.0,2.1327772498422704,1.0663886249211352
1e-07,1e-07,1e-05,1e-07,Shomate,homoskedastic,0.01,1.0,1.6015169091147767,0.8007584545573884
1e-07,1e-07,1e-05,1e-07,Shomate,homoskedastic,0.02,1.0,2.0611282544533904,1.0305641272266952
1e-07,1e-07,1e-05,1e-07,Shomate,homoskedastic,0.05,1.0,1.7641390088075648,0.8820695044037824
1e-07,1e-07,1e-05,1e-07,Shomate,homoskedastic,0.1,1.0,2.1595383760379914,1.0797691880189957
1e-07,1e-07,1e-05,1e-07,Shomate,heteroskedastic,0.01,1.0,1.2938290333261009,0.6469145166630504
1e-07,1e-07,1e-05,1e-07,Shomate,heteroskedastic,0.02,1.0,0.8817805136876539,0.44089025684382693
1e-07,1e-07,1e-05,1e-07,Shomate,heteroskedastic,0.05,1.0,0.8864196532093579,0.44320982660467895
1e-07,1e-07,1e-05,1e-07,Shomate,heteroskedastic,0.1,1.0,1.1944719232089642,0.5972359616044821
1e-07,1e-07,1e-05,1e-06,Line,homoskedastic,0.01,1.0,3.1258561474047157,1.5629280737023579
1e-07,1e-07,1e-05,1e-06,Line,homoskedastic,0.02,1.0,3.141219444694445,1.5706097223472224
1e-07,1e-07,1e-05,1e-06,Line,homoskedastic,0.05,1.0,3.1295872789256056,1.5647936394628028
1e-07,1e-07,1e-05,1e-06,Line,homoskedastic,0.1,1.0,3.1058806356327406,1.5529403178163703
1e-07,1e-07,1e-05,1e-06,Line,heteroskedastic,0.01,1.0,3.1394375205931055,1.5697187602965528
1e-07,1e-07,1e-05,1e-06,Line,heteroskedastic,0.02,1.0,3.1553965406766613,1.5776982703383307
1e-07,1e-07,1e-05,1e-06,Line,heteroskedastic,0.05,1.0,3.1159967408278,1.5579983704139
1e-07,1e-07,1e-05,1e-06,Line,heteroskedastic,0.1,1.0,3.065064793913517,1.5325323969567586
1e-07,1e-07,1e-05,1e-06,Polynomial,homoskedastic,0.01,1.0,3.660721668744777,1.8303608343723885
1e-07,1e-07,1e-05,1e-06,Polynomial,homoskedastic,0.02,1.0,3.4601269644335764,1.7300634822167882
1e-07,1e-07,1e-05,1e-06,Polynomial,homoskedastic,0.05,1.0,3.3241394632662478,1.6620697316331239
1e-07,1e-07,1e-05,1e-06,Polynomial,homoskedastic,0.1,1.0,2.508343695650879,1.2541718478254396
1e-07,1e-07,1e-05,1e-06,Polynomial,heteroskedastic,0.01,1.0,3.5475515952976027,1.7737757976488013
1e-07,1e-07,1e-05,1e-06,Polynomial,heteroskedastic,0.02,1.0,3.438214640842044,1.719107320421022
1e-07,1e-07,1e-05,1e-06,Polynomial,heteroskedastic,0.05,1.0,1.8078752333737877,0.9039376166868939
